site_id,elevation,shore,snow_t,snow_t1,date,year,day,order,pit_tag_ref,donor,sex,length,weight,bd_load,survival
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091292290,72996,m,48,10,240,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091336372,72996,f,52,12,96,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091347614,72996,f,59,16,11760,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091362526,72996,f,48,10,0,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091513056,72996,f,49,10,13968,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091522614,72996,f,44,9,4752,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091538610,72996,m,46,8,960,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091546090,72996,m,52,11,0,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091549862,72996,m,47,8,7968,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091552028,72996,f,45,8,528,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091554889,72996,f,51,11,5376.000000000001,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091556840,72996,f,48,10,6432,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091576079,72996,f,54,13,48575.99999999999,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091582797,72996,m,50,18,0,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091586097,72996,f,53,13,10368,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091592889,72996,f,51,13,1152,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091594065,72996,m,52,12,576,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,091598801,72996,f,49,12,0,0
70414,2471,0,120.90400000000001,51.054,2006-07-18,2006,199,1,092789121,72996,m,48,10,2208,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,062374570,72996,f,51,12,2928,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080045534,72996,m,53,14,8544,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080045779,72996,f,52,13,3840,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080048769,72996,f,47,11,1824,0.4
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080052585,72996,m,46,9,2160,0.8
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080068126,72996,f,49,12,720,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,080374566,72996,m,50,12,28224,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,090873349,72996,m,48,11,0,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,090891807,72996,f,55,15,14736,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091020125,72996,m,49,10,0,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091021044,72996,m,47,11,336.00000000000006,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091022277,72996,f,54,14,34944,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091034860,72996,f,49,10,6048,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091063878,72996,f,49,13,30432,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091066872,72996,m,46,10,6528.000000000001,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091072047,72996,m,48,10,7056,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091094305,72996,f,46,6,144,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091110803,72996,f,56,16,15408,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091120768,72996,m,48,10,18000,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091315561,72996,f,52,12,0,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091318870,72996,m,54,18,24432,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091320558,72996,m,50,14,58512,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091336278,72996,m,48,9,0,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091344771,72996,m,45,10,7680,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091346622,72996,f,48,10,0,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091356306,72996,m,50,11,96,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091356534,72996,m,53,14,1536,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091357564,72996,m,48,10,720,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091515292,72996,f,50,11,3552,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091529336,72996,f,63,24,11376,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091530379,72996,f,51,14,240,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091571769,72996,m,47,9,0,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091572056,72996,m,51,14,3168,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091573095,72996,m,53,16,0,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091575537,72996,m,51,12,96,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091582279,72996,m,48,11,4896,0.2
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091582868,72996,f,54,12,1056,0.4
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,091601297,72996,f,56,15,53568,0
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,118001058990,72996,f,48,11,144,1
70550,3200,1,120.90400000000001,51.054,2006-08-07,2006,219,1,900118001060333,72996,f,55,17,0,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121011993027,72996,m,46,9,240,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012022903,72996,m,57,16,1584,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012023064,72996,f,44,10,0,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012024075,72996,m,50,12,108432,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012024446,72996,m,48,12,1824,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012025789,72996,m,46,10,1008,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012025876,72996,f,50,10,8112,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012027934,72996,m,47,10,3216,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012028875,72996,f,45,10,432,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012029294,72996,m,50,11,91872,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012029339,72996,m,49,10,48,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012029379,72996,f,55,15,11376,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012029973,72996,m,46,8,0,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012030430,72996,f,53,14,0,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012031001,72996,f,49,12,2928,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012031275,72996,m,51,12,13632,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012031889,72996,m,42,8,22992,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012034712,72996,f,49,12,0,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012035780,72996,m,57,16,192,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985121012055247,72996,m,47,10,528,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075201,72996,f,53,12,5664,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075205,72996,m,54,17,8304,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075208,72996,f,52,16,1104,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075219,72996,f,52,14,480,1
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075228,72996,f,52,13,2400,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075233,72996,f,47,13,2064,0.25
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075235,72996,m,49,12,0,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075236,72996,f,52,13,816.0000000000001,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075239,72996,m,47,10,336.00000000000006,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075244,72996,f,58,20,144,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075252,72996,f,48,10,96,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075269,72996,m,48,12,2160,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075273,72996,m,53,12,48,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075284,72996,m,49,11,0,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075285,72996,m,46,10,2064,0
70505,2879,0,80.518,67.31,2008-07-15,2008,197,1,985153000075295,72996,m,50,14,768,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121011981122,72996,m,54,16,768,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121011986696,72996,m,48,10,1104,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121011988199,72996,m,50,11,3935.9999999999995,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121011991157,72996,m,48,12,5808,0
70619,3237,1,80.518,67.31,2008-07-15,2008,197,1,985121012023060,72996,m,50,12,8352,0
