site_id,bd_status,utme_noise,utmn_noise
74281,naive,294361,4180804
50731,naive,342442,4142549
50307,naive,349363,4133768
52127,naive,348055,4126260
10220,naive,362208,4108342
10490,naive,378720,4065770
50837,naive,379339,4069692
20169,naive,369226,4053324
72996,recovering,295719,4206423
72808,recovering,289523,4190025
70567,recovering,295968,4179240
54188,recovering,347282,4122883
10055,recovering,346504,4115321
10593,recovering,346131,4083327
50783,recovering,397205,4028975
