surv_prob_med,surv_prob_lower,surv_prob_upper,lake_id
,,,70414
,,,70370
,,,70134
0.348971807594004,0.132940966586764,0.630817498776144,70505
0.696367632048929,0.559315691473649,0.811736593720989,70550
0,0,1,70641
,,,70619
0.712187788530745,0.590126344614311,0.865299317209764,70449
0.724510148597424,0.470193439459366,0.932234803994347,70413
,,,70628
0.501420459691669,0.355061085157787,0.7125043185488,70556
,,,74976
