site_id,visit_date,survey_type,capture_life_stage,capture_animal_state,pit_tag_ref,sex
70505,2015-06-23,cmr,adult,healthy,900043000104415,f
70505,2015-06-23,cmr,adult,healthy,900043000104416,f
70505,2015-06-23,cmr,adult,healthy,900043000104472,m
70505,2015-06-23,cmr,adult,healthy,900043000104494,m
70505,2015-06-23,cmr,adult,healthy,900043000104495,f
70550,2014-08-12,cmr,adult,healthy,900118001029442,f
70279,2015-08-02,cmr,adult,healthy,982000365440268,f
70413,2015-08-02,cmr,adult,healthy,982000365440357,f
70279,2015-08-02,cmr,adult,healthy,982000365440361,f
70550,2015-08-04,cmr,adult,healthy,900043000104400,f
70550,2015-08-04,cmr,adult,healthy,900043000104409,f
70550,2015-08-04,cmr,adult,healthy,900043000104428,f
70550,2015-08-04,cmr,adult,healthy,900043000104438,f
70550,2015-08-04,cmr,adult,healthy,900043000104440,m
70550,2015-08-04,cmr,adult,healthy,900043000104451,f
70550,2015-08-04,cmr,adult,healthy,900043000104456,m
70550,2015-08-04,cmr,adult,healthy,900043000104470,m
70550,2015-08-04,cmr,adult,healthy,900043000104471,m
70550,2015-08-04,cmr,adult,healthy,900043000104474,f
70550,2015-08-04,cmr,adult,healthy,900043000104480,f
70550,2015-08-04,cmr,adult,healthy,900043000104486,m
70550,2015-08-04,cmr,adult,healthy,900043000104488,f
70550,2015-08-04,cmr,adult,healthy,900043000108182,m
70550,2015-08-04,cmr,adult,healthy,900118001027920,f
70550,2015-08-04,cmr,adult,healthy,900118001027927,m
70550,2015-08-04,cmr,adult,healthy,900118001028032,f
70550,2015-08-04,cmr,adult,healthy,900118001028262,f
70550,2015-08-04,cmr,adult,healthy,900118001029284,f
70550,2015-08-04,cmr,adult,healthy,900118001029860,f
70550,2015-08-04,cmr,adult,healthy,900118001029951,m
70550,2015-08-04,cmr,adult,healthy,900118001030982,m
70550,2015-08-04,cmr,adult,healthy,900118001031019,f
70550,2015-08-04,cmr,adult,healthy,900118001031211,f
70550,2015-08-04,cmr,adult,healthy,900118001031467,m
70550,2015-08-04,cmr,adult,healthy,900118001057441,f
70550,2015-08-04,cmr,adult,healthy,900118001057815,f
70550,2015-08-04,cmr,adult,healthy,900118001057927,f
70550,2015-08-04,cmr,adult,healthy,900118001057958,f
70550,2015-08-04,cmr,adult,healthy,900118001058242,m
70550,2015-08-04,cmr,adult,healthy,900118001058634,f
70550,2018-06-29,cmr,adult,healthy,900067000114188,f
70550,2018-06-29,cmr,adult,healthy,900067000117009,m
70550,2015-08-04,cmr,adult,healthy,900118001059850,m
70550,2014-06-24,cmr,adult,healthy,985121019078609,f
70550,2014-06-24,cmr,adult,healthy,985121019093988,f
70449,2014-07-10,cmr,adult,healthy,900043000104521,m
70550,2015-08-06,cmr,adult,healthy,900118001029529,m
70550,2015-08-06,cmr,adult,healthy,900118001029860,f
70550,2015-08-06,cmr,adult,healthy,900118001030540,m
70550,2015-08-06,cmr,adult,healthy,900118001030965,m
70550,2015-08-06,cmr,adult,healthy,900118001058634,f
70550,2015-08-06,cmr,adult,healthy,982000362395950,m
70550,2015-08-06,cmr,adult,healthy,982000365440238,m
70550,2015-08-06,cmr,adult,healthy,985121019077514,m
70550,2015-08-06,cmr,adult,healthy,985121019078609,f
70550,2017-08-11,cmr,adult,healthy,900067000117693,m
70550,2018-08-18,cmr,adult,healthy,900067000078168,m
70550,2018-08-18,cmr,adult,healthy,900067000113884,f
70550,2018-08-18,cmr,adult,healthy,900067000113900,f
70550,2018-08-18,cmr,adult,healthy,900067000113919,m
70550,2018-08-18,cmr,adult,healthy,900067000113931,f
70550,2018-08-18,cmr,adult,healthy,900067000113932,f
70550,2018-08-18,cmr,adult,healthy,900067000117033,m
70550,2018-08-18,cmr,adult,healthy,900067000117158,f
70550,2018-08-18,cmr,adult,healthy,900067000117203,m
70550,2018-08-18,cmr,adult,healthy,900067000117208,f
70550,2018-08-18,cmr,adult,healthy,900067000117221,m
70550,2018-08-18,cmr,adult,healthy,900067000117233,f
70550,2018-08-18,cmr,adult,healthy,900067000117249,f
70550,2018-08-18,cmr,adult,healthy,900067000117268,f
70550,2018-08-18,cmr,adult,healthy,900067000117271,m
70550,2018-08-18,cmr,adult,healthy,900067000117282,m
70550,2018-08-18,cmr,adult,healthy,900067000117284,f
74976,2018-08-18,cmr,adult,healthy,900067000117285,m
74976,2018-08-18,cmr,adult,healthy,900067000117350,m
70550,2018-08-18,cmr,adult,healthy,900067000117583,m
70550,2018-08-18,cmr,adult,healthy,900067000117600,m
70550,2018-08-18,cmr,adult,healthy,900067000117633,f
70550,2018-08-18,cmr,adult,healthy,900067000117657,m
70550,2018-08-18,cmr,adult,healthy,900067000117660,m
70550,2018-08-18,cmr,adult,healthy,900067000117670,f
70550,2018-08-18,cmr,adult,healthy,900067000117683,m
70550,2018-08-18,cmr,adult,healthy,900067000117704,f
70550,2018-08-18,cmr,adult,healthy,900067000117732,f
70413,2013-08-12,cmr,adult,healthy,900118001057993,f
70413,2013-08-12,cmr,adult,healthy,900118001030201,f
70413,2013-08-26,cmr,adult,healthy,900118001030201,f
70413,2013-08-14,cmr,adult,healthy,900118001058227,m
70413,2013-08-12,cmr,adult,healthy,900118001030340,m
70550,2013-08-28,cmr,adult,healthy,900118001029284,NA
70279,2013-08-27,cmr,adult,healthy,900118001057684,m
70279,2013-08-26,cmr,adult,healthy,900118001058076,m
