site_id,type,release_date,pit_tag_ref
70413,translocation,2013-07-15,900118001027825
70413,translocation,2013-07-15,900118001027943
70413,translocation,2013-07-15,900118001028253
70413,translocation,2013-07-15,900118001028329
70413,translocation,2013-07-15,900118001028660
70413,translocation,2013-07-15,900118001028708
70413,translocation,2013-07-15,900118001028945
70413,translocation,2013-07-15,900118001029064
70413,translocation,2013-07-15,900118001029071
70413,translocation,2013-07-15,900118001029179
70413,translocation,2013-07-15,900118001029276
70413,translocation,2013-07-15,900118001029608
70413,translocation,2013-07-15,900118001029614
70413,translocation,2013-07-15,900118001029701
70413,translocation,2013-07-15,900118001029717
70413,translocation,2013-07-15,900118001029743
70413,translocation,2013-07-15,900118001029880
70413,translocation,2013-07-15,900118001029981
70413,translocation,2013-07-15,900118001030121
70413,translocation,2013-07-15,900118001030201
70413,translocation,2013-07-15,900118001030233
70413,translocation,2013-07-15,900118001030336
70413,translocation,2013-07-15,900118001030340
70413,translocation,2013-07-15,900118001030433
70413,translocation,2013-07-15,900118001030450
70413,translocation,2013-07-15,900118001030621
70413,translocation,2013-07-15,900118001057556
70413,translocation,2013-07-15,900118001057650
70413,translocation,2013-07-15,900118001057684
70413,translocation,2013-07-15,900118001057993
70413,translocation,2013-07-15,900118001058076
70413,translocation,2013-07-15,900118001058227
70413,translocation,2013-07-15,900118001058357
70413,translocation,2013-07-15,900118001059017
70413,translocation,2013-07-15,900118001059382
70413,translocation,2013-07-15,900118001064566
70413,translocation,2013-07-15,985121019071757
70413,translocation,2015-07-15,900043000104408
70413,translocation,2015-07-15,900043000104441
70413,translocation,2015-07-15,900043000104444
70413,translocation,2015-07-15,900043000108268
70413,translocation,2015-07-15,900118001057424
70413,translocation,2015-07-15,982000365440174
70413,translocation,2015-07-15,982000365440190
70413,translocation,2015-07-15,982000365440193
70413,translocation,2015-07-15,982000365440208
70413,translocation,2015-07-15,982000365440213
70413,translocation,2015-07-15,982000365440220
70413,translocation,2015-07-15,982000365440229
70413,translocation,2015-07-15,982000365440253
70413,translocation,2015-07-15,982000365440258
70413,translocation,2015-07-15,982000365440268
70413,translocation,2015-07-15,982000365440275
70413,translocation,2015-07-15,982000365440276
70413,translocation,2015-07-15,982000365440300
