site_id,release_date,years_since_intro,pit_tag_ref,median_survival
70413,2015-07-15,1,982000365440268,1
70413,2015-07-15,1,982000365440275,0
70413,2015-07-15,1,982000365440276,1
70413,2015-07-15,1,982000365440300,0
70413,2015-07-15,1,982000365440320,1
70413,2015-07-15,1,982000365440327,1
70413,2015-07-15,1,982000365440357,1
70413,2015-07-15,1,982000365440361,0
70413,2017-09-02,1,900067000113992,1
70413,2017-09-02,1,900067000114046,1
70413,2017-09-02,1,900067000114297,0
70413,2017-09-02,1,900067000114359,1
70413,2017-09-02,1,900067000114585,0
70413,2017-09-02,1,900067000114645,0
70413,2017-09-02,1,900067000114727,0
70413,2017-09-02,1,900067000116848,0
70413,2017-09-02,1,900067000117383,0
70413,2017-09-02,1,900067000117403,1
70413,2017-09-02,1,900067000117413,1
70413,2017-09-02,1,900067000117426,0
70413,2017-09-02,1,900067000117434,1
70413,2017-09-02,1,900067000117455,0
70413,2017-09-02,1,900067000117461,1
70413,2017-09-02,1,900067000117462,1
70413,2017-09-02,1,900067000117468,1
70413,2017-09-02,1,900067000117480,0
70414,2006-07-18,1,080047783,0
70414,2006-07-18,1,080050325,0
70414,2006-07-18,1,080053099,0
70414,2006-07-18,1,080054873,0
70414,2006-07-18,1,080055025,0
70414,2006-07-18,1,080055334,0
70414,2006-07-18,1,080058043,0
70414,2006-07-18,1,080058516,0
70414,2006-07-18,1,090871274,0
70414,2006-07-18,1,090893577,0
70414,2006-07-18,1,091015595,0
70414,2006-07-18,1,091025053,0
70414,2006-07-18,1,091025592,0
70414,2006-07-18,1,091029333,0
70414,2006-07-18,1,091057583,0
70414,2006-07-18,1,091089263,0
70414,2006-07-18,1,091104806,0
70414,2006-07-18,1,091109549,0
70414,2006-07-18,1,091114006,0
70414,2006-07-18,1,091283821,0
70414,2006-07-18,1,091292290,0
70414,2006-07-18,1,091336372,0
70414,2006-07-18,1,091347614,0
70414,2006-07-18,1,091362526,0
70414,2006-07-18,1,091513056,0
70414,2006-07-18,1,091522614,0
70414,2006-07-18,1,091538610,0
70414,2006-07-18,1,091546090,0
70414,2006-07-18,1,091549862,0
70414,2006-07-18,1,091552028,0
70414,2006-07-18,1,091554889,0
70414,2006-07-18,1,091556840,0
70414,2006-07-18,1,091576079,0
70414,2006-07-18,1,091582797,0
70414,2006-07-18,1,091586097,0
70414,2006-07-18,1,091592889,0
70414,2006-07-18,1,091594065,0
70414,2006-07-18,1,091598801,0
70414,2006-07-18,1,092789121,0
70449,2014-06-28,1,900043000104502,1
70449,2014-06-28,1,900043000104505,1
70449,2014-06-28,1,900043000104510,0
70449,2014-06-28,1,900043000104512,0
70449,2014-06-28,1,900043000104513,0
70449,2014-06-28,1,900043000104516,0
70449,2014-06-28,1,900043000104520,0
70449,2014-06-28,1,900043000104521,0
70449,2014-06-28,1,900043000104522,1
70449,2014-06-28,1,900043000104524,0
70449,2014-06-28,1,900043000104526,0
70449,2014-06-28,1,900043000104529,1
70449,2014-06-28,1,900043000104530,0
70449,2014-06-28,1,900043000104531,0
70449,2014-06-28,1,900043000104532,0
70449,2014-06-28,1,900043000104536,0
70449,2014-06-28,1,900043000104539,0
70449,2014-06-28,1,900043000104540,1
70449,2014-06-28,1,900043000104542,1
70449,2014-06-28,1,900043000104543,0
70449,2014-06-28,1,900043000104546,1
70449,2014-06-28,1,900043000104547,0.3333333333333333
70449,2014-06-28,1,900043000104549,1
70449,2014-06-28,1,900043000104552,1
70449,2014-06-28,1,900043000104553,1
70449,2014-06-28,1,900043000104554,0
70449,2014-06-28,1,900043000104555,0
70449,2014-06-28,1,900043000104556,1
70449,2014-06-28,1,900043000104561,0
70449,2014-06-28,1,900043000104562,0
70449,2014-06-28,1,900043000104567,1
70449,2014-06-28,1,900043000104568,0
70449,2014-06-28,1,900043000104571,0
70449,2014-06-28,1,900043000104572,1
70449,2014-06-28,1,900043000104574,1
70449,2014-06-28,1,900043000104575,0
70449,2014-06-28,1,900043000104579,0
70449,2014-06-28,1,900043000104584,0
70449,2014-06-28,1,900043000104587,0
70449,2014-06-28,1,900043000104588,1
70449,2014-06-28,1,900043000104589,0
70449,2014-06-28,1,900043000104590,1
70449,2014-06-28,1,900043000104591,0
70449,2014-06-28,1,900043000104594,1
70449,2014-06-28,1,900043000104599,0
70449,2014-06-28,1,900118001027515,0
70449,2014-06-28,1,900118001027772,0
70449,2014-06-28,1,900118001029229,0
70449,2014-06-28,1,900118001029497,0
70449,2014-06-28,1,900118001058387,0
70449,2017-08-09,1,900067000114018,0
70449,2017-08-09,1,900067000114099,1
70449,2017-08-09,1,900067000114108,0
70449,2017-08-09,1,900067000114136,1
70449,2017-08-09,1,900067000114138,1
70449,2017-08-09,1,900067000114178,0
70449,2017-08-09,1,900067000117387,1
70449,2017-08-09,1,900067000117390,0
70449,2017-08-09,1,900067000117394,1
70449,2017-08-09,1,900067000117406,0
70449,2017-08-09,1,900067000117411,1
70449,2017-08-09,1,900067000117412,1
70449,2017-08-09,1,900067000117416,0
70449,2017-08-09,1,900067000117418,1
70449,2017-08-09,1,900067000117423,1
70449,2017-08-09,1,900067000117432,1
70449,2017-08-09,1,900067000117438,1
70449,2017-08-09,1,900067000117441,0
70449,2017-08-09,1,900067000117444,0
70449,2017-08-09,1,900067000117446,0
70449,2017-08-09,1,900067000117449,0
70449,2017-08-09,1,900067000117453,1
70449,2017-08-09,1,900067000117458,1
70449,2017-08-09,1,900067000117459,0
70449,2017-08-09,1,900067000117465,0
70449,2017-08-09,1,900067000117466,1
70449,2017-08-09,1,900067000117471,0
70449,2017-08-09,1,900067000117475,1
70449,2017-08-09,1,900067000117476,0
70449,2017-08-09,1,900067000117478,0
70505,2008-07-15,1,985121011993027,0
70505,2008-07-15,1,985121012022903,0
70505,2008-07-15,1,985121012023064,0
70505,2008-07-15,1,985121012024075,0
70505,2008-07-15,1,985121012024446,0
70505,2008-07-15,1,985121012025789,0
70505,2008-07-15,1,985121012025876,0
70505,2008-07-15,1,985121012027934,0
70505,2008-07-15,1,985121012028875,0
70505,2008-07-15,1,985121012029294,0
70505,2008-07-15,1,985121012029339,1
70505,2008-07-15,1,985121012029379,0
70505,2008-07-15,1,985121012029973,1
70505,2008-07-15,1,985121012030430,0
70505,2008-07-15,1,985121012031001,0
70505,2008-07-15,1,985121012031275,1
