relocate_id,release_siteid1,release_date,collect_siteid,type,pit_tag_ref,sex,length,weight,swab_id,bd_load
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440253,f,50,12,RKS18214,176.16
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440361,f,59,23,RKS18420,96704.16
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440213,f,61,25,RKS18421,6609.12
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,900043000104441,f,59,25,RKS18422,21652.8
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001029717,f,54,18,RKS16389,7920
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001059017,f,55,22,RKS16401,288
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001064566,f,59,23,RKS16390,96
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440327,m,55,19,RKS18426,1856.16
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001030450,f,54,18,RKS16391,1152
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001057556,f,55,22,RKS16402,0
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,900043000104444,f,48,12,RKS18429,0
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001057684,m,60,24,RKS16403,3744
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001058357,m,60,24,RKS16404,1584
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440320,m,55,19,RKS18246,5211.36
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440268,f,60,23,RKS18247,74002.08
470afc3f-98fc-484a-979a-53d4d21b7375,70279,2015-07-15,70567,translocation,982000365440174,f,58,22,RKS18248,3476.64
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001029179,m,55,23,RKS16405,6912
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001027825,m,50,14,RKS16406,0
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001030621,f,61,29,RKS16388,0
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001029064,f,65,33,RKS16392,48
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001027732,m,58,20,RKS16393,1296
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001058076,m,53,20,RKS16394,4704
46ed751b-f0de-45f9-b71d-3febcac6e5fa,70279,2013-07-15,70567,translocation,900118001029880,f,57,20,RKS16395,0
