years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2014-06-28,0.6,0.62,0.66
0,2017-08-09,0.8666666666666667,0.9333333333333333,1
1,2014-06-28,0.3466666666666667,0.35333333333333333,0.37333333333333335
1,2017-08-09,0.5,0.5333333333333333,0.6
2,2014-06-28,0.17,0.175,0.19
2,2017-08-09,0.1,0.13333333333333333,0.23333333333333334
3,2014-06-28,0.08666666666666667,0.09333333333333334,0.11333333333333333
3,2017-08-09,0.06666666666666667,0.06666666666666667,0.13333333333333333
4,2014-06-28,0.08,0.08,0.08
4,2017-08-09,0.03333333333333333,0.06666666666666667,0.1
5,2014-06-28,0.04,0.04,0.06
6,2014-06-28,0,0,0.04
7,2014-06-28,0,0,0.02
