years_since_introduction,release_date,pit_tag_id,lo_survival,median_survival,hi_survival
0,2018-07-18,900067000117285,1,1,1
0,2018-07-18,900067000117350,1,1,1
0,2018-07-18,900067000117385,1,1,1
0,2018-07-18,900067000117389,1,1,1
0,2018-07-18,900067000117393,1,1,1
0,2018-07-18,900067000117396,1,1,1
0,2018-07-18,900067000117399,1,1,1
0,2018-07-18,900067000117405,1,1,1
0,2018-07-18,900067000117407,1,1,1
0,2018-07-18,900067000117420,1,1,1
0,2018-07-18,900067000117433,1,1,1
0,2018-07-18,900067000117439,1,1,1
0,2018-07-18,900067000117445,1,1,1
0,2018-07-18,900067000117451,1,1,1
0,2018-07-18,900067000117467,1,1,1
0,2018-07-18,900067000117469,1,1,1
0,2018-07-18,900067000117470,1,1,1
0,2018-07-18,900067000117477,1,1,1
0,2020-07-06,900043000144021,1,1,1
0,2020-07-06,900043000144422,1,1,1
0,2020-07-06,900043000144473,1,1,1
0,2020-07-06,900043000144475,1,1,1
0,2020-07-06,900043000144484,1,1,1
0,2020-07-06,900043000144831,1,1,1
0,2020-07-06,900067000116982,1,1,1
0,2020-07-06,900067000116985,1,1,1
0,2020-07-06,900067000117027,1,1,1
0,2020-07-06,900067000117043,0,0,1
0,2020-07-06,900067000117080,1,1,1
0,2020-07-06,900067000117102,1,1,1
0,2020-07-06,900067000117113,0,0,1
0,2020-07-06,900067000117123,1,1,1
0,2020-07-06,900067000117130,1,1,1
0,2020-07-06,900067000117157,1,1,1
0,2020-07-06,900067000117176,1,1,1
0,2020-07-06,900067000117177,0,0,1
1,2018-07-18,900067000117285,1,1,1
1,2018-07-18,900067000117350,1,1,1
1,2018-07-18,900067000117385,0,0,1
1,2018-07-18,900067000117389,1,1,1
1,2018-07-18,900067000117393,1,1,1
1,2018-07-18,900067000117396,1,1,1
1,2018-07-18,900067000117399,1,1,1
1,2018-07-18,900067000117405,1,1,1
1,2018-07-18,900067000117407,1,1,1
1,2018-07-18,900067000117420,1,1,1
1,2018-07-18,900067000117433,1,1,1
1,2018-07-18,900067000117439,1,1,1
1,2018-07-18,900067000117445,1,1,1
1,2018-07-18,900067000117451,1,1,1
1,2018-07-18,900067000117467,1,1,1
1,2018-07-18,900067000117469,1,1,1
1,2018-07-18,900067000117470,1,1,1
1,2018-07-18,900067000117477,1,1,1
1,2020-07-06,900043000144021,0,0,1
1,2020-07-06,900043000144422,1,1,1
1,2020-07-06,900043000144473,1,1,1
1,2020-07-06,900043000144475,1,1,1
1,2020-07-06,900043000144484,1,1,1
1,2020-07-06,900043000144831,1,1,1
1,2020-07-06,900067000116982,1,1,1
1,2020-07-06,900067000116985,0.5,0.5,1
1,2020-07-06,900067000117027,1,1,1
1,2020-07-06,900067000117043,0,0,0
1,2020-07-06,900067000117080,1,1,1
1,2020-07-06,900067000117102,0,0,1
1,2020-07-06,900067000117113,0,0,0
1,2020-07-06,900067000117123,0.5,0.5,1
1,2020-07-06,900067000117130,1,1,1
1,2020-07-06,900067000117157,1,1,1
1,2020-07-06,900067000117176,0.5,0.5,1
1,2020-07-06,900067000117177,0,0,0
2,2018-07-18,900067000117285,1,1,1
2,2018-07-18,900067000117350,1,1,1
2,2018-07-18,900067000117385,0,0,0
2,2018-07-18,900067000117389,1,1,1
2,2018-07-18,900067000117393,1,1,1
2,2018-07-18,900067000117396,1,1,1
2,2018-07-18,900067000117399,1,1,1
2,2018-07-18,900067000117405,1,1,1
2,2018-07-18,900067000117407,1,1,1
2,2018-07-18,900067000117420,1,1,1
2,2018-07-18,900067000117433,1,1,1
2,2018-07-18,900067000117439,1,1,1
2,2018-07-18,900067000117445,1,1,1
2,2018-07-18,900067000117451,1,1,1
2,2018-07-18,900067000117467,1,1,1
2,2018-07-18,900067000117469,1,1,1
2,2018-07-18,900067000117470,1,1,1
2,2018-07-18,900067000117477,1,1,1
3,2018-07-18,900067000117285,0.5,0.5,1
3,2018-07-18,900067000117350,1,1,1
3,2018-07-18,900067000117385,0,0,0
3,2018-07-18,900067000117389,1,1,1
3,2018-07-18,900067000117393,1,1,1
3,2018-07-18,900067000117396,0.5,0.5,1
3,2018-07-18,900067000117399,0.5,0.5,1
3,2018-07-18,900067000117405,1,1,1
3,2018-07-18,900067000117407,0.5,0.5,1
3,2018-07-18,900067000117420,1,1,1
3,2018-07-18,900067000117433,0,0,1
3,2018-07-18,900067000117439,0.5,0.5,1
3,2018-07-18,900067000117445,1,1,1
3,2018-07-18,900067000117451,1,1,1
3,2018-07-18,900067000117467,1,1,1
3,2018-07-18,900067000117469,1,1,1
3,2018-07-18,900067000117470,1,1,1
3,2018-07-18,900067000117477,1,1,1
