years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2008-07-15,0.7083333333333334,0.7916666666666666,0.8888888888888888
0,2013-07-16,0.5087719298245614,0.543859649122807,0.5964912280701754
0,2015-07-06,0.65,0.725,0.85
0,2017-08-09,0.6333333333333333,0.7333333333333333,0.9
1,2008-07-15,0.1736111111111111,0.19444444444444445,0.25
1,2013-07-16,0.15789473684210525,0.15789473684210525,0.15789473684210525
1,2015-07-06,0.1,0.1,0.15
1,2017-08-09,0.08333333333333333,0.1,0.15
2,2008-07-15,0.16666666666666666,0.16666666666666666,0.19444444444444445
2,2013-07-16,0.10526315789473684,0.10526315789473684,0.14473684210526316
2,2015-07-06,0,0,0.03333333333333333
3,2008-07-15,0.16666666666666666,0.16666666666666666,0.19444444444444445
3,2013-07-16,0.05263157894736842,0.05263157894736842,0.07017543859649122
3,2015-07-06,0,0,0
4,2008-07-15,0.12037037037037036,0.12962962962962962,0.16666666666666666
4,2013-07-16,0.05263157894736842,0.05263157894736842,0.05263157894736842
5,2008-07-15,0.05808080808080808,0.06313131313131314,0.07828282828282829
5,2013-07-16,0,0,0
6,2008-07-15,0,0,0.018518518518518517
7,2008-07-15,0,0,0
8,2008-07-15,0,0,0
9,2008-07-15,0,0,0
10,2008-07-15,0,0,0
