years_since_introduction,release_date,lo_survival,median_survival,hi_survival
0,2013-07-15,0.9145299145299145,0.9230769230769231,0.9444444444444444
0,2015-07-15,0.9318181818181818,1,1
0,2021-07-17,0.68,0.74,0.8
0,2021-07-18,0.14130434782608695,0.21739130434782608,0.3154891304347836
1,2013-07-15,0.6837606837606838,0.6923076923076923,0.7350427350427351
1,2015-07-15,0.5681818181818182,0.6363636363636364,0.7727272727272727
1,2017-09-02,0.4444444444444444,0.5555555555555556,0.6951388888888914
2,2013-07-15,0.6410256410256411,0.6602564102564102,0.6923076923076923
2,2015-07-15,0.3181818181818182,0.4090909090909091,0.5454545454545454
2,2017-09-02,0.2777777777777778,0.3888888888888889,0.5555555555555556
3,2013-07-15,0.3974358974358974,0.4358974358974359,0.5128205128205128
3,2015-07-15,0.22727272727272727,0.22727272727272727,0.3181818181818182
3,2017-09-02,0.16666666666666666,0.16666666666666666,0.2777777777777778
4,2013-07-15,0.20512820512820512,0.2692307692307692,0.358974358974359
4,2015-07-15,0.18181818181818182,0.22727272727272727,0.2727272727272727
4,2017-09-02,0.16666666666666666,0.16666666666666666,0.25
5,2013-07-15,0.15384615384615385,0.1794871794871795,0.21794871794871795
5,2015-07-15,0.13636363636363635,0.13636363636363635,0.18181818181818182
6,2013-07-15,0.07692307692307693,0.1282051282051282,0.1794871794871795
6,2015-07-15,0.09090909090909091,0.125,0.17045454545454544
7,2013-07-15,0.02564102564102564,0.02564102564102564,0.07692307692307693
8,2013-07-15,0.01282051282051282,0.019230769230769232,0.057692307692307696
