years_since_introduction,release_date,pit_tag_id,lo_survival,median_survival,hi_survival
0,2006-08-08,080048850,0,0.6,1
0,2006-08-08,080050269,0.6,0.8,1
0,2006-08-08,080051294,0.8,0.8,1
0,2006-08-08,080054113,1,1,1
0,2006-08-08,080055046,0,0.6,1
0,2006-08-08,080058318,0.6,0.6,1
0,2006-08-08,090852530,1,1,1
0,2006-08-08,090867313,0.4,0.6,1
0,2006-08-08,090876364,0.6,0.6,1
0,2006-08-08,090894361,0.6,0.6,1
0,2006-08-08,091007632,1,1,1
0,2006-08-08,091022607,0.8,0.8,1
0,2006-08-08,091024289,1,1,1
0,2006-08-08,091024307,0.6,0.6,1
0,2006-08-08,091034029,0.4,0.6,1
0,2006-08-08,091058003,1,1,1
0,2006-08-08,091059098,0,0.6,1
0,2006-08-08,091067532,1,1,1
0,2006-08-08,091104058,0.8,0.8,1
0,2006-08-08,091106639,0.4,0.6,1
0,2006-08-08,091124286,0,0.6,1
0,2006-08-08,091358025,0.2,0.6,1
0,2006-08-08,091382828,0.6,0.6,1
0,2006-08-08,091516832,0.2,0.6,1
0,2006-08-08,091523602,0.2,0.6,1
0,2006-08-08,091525022,0.6,0.6,1
0,2006-08-08,091528519,0,0.6,1
0,2006-08-08,091529283,0.6,0.6,1
0,2006-08-08,091530312,0.4,0.6,1
0,2006-08-08,091536862,0,0.6,1
0,2006-08-08,091557864,0.2,0.6,1
0,2006-08-08,091558058,0.8,0.8,1
0,2006-08-08,091567092,1,1,1
0,2006-08-08,091572817,0.4,0.6,1
0,2006-08-08,091581524,0.2,0.6,1
0,2006-08-08,091585885,1,1,1
0,2006-08-08,091592591,0.4,0.6,1
0,2006-08-08,091593803,0.6,0.6,1
0,2006-08-08,091602591,0.4,0.6,1
0,2006-08-08,091603798,0.4,0.6,1
1,2006-08-08,080048850,0,0,0.125
1,2006-08-08,080050269,0,0,0.375
1,2006-08-08,080051294,0,0,0.625
1,2006-08-08,080054113,0.5,0.625,1
1,2006-08-08,080055046,0,0,0.25
1,2006-08-08,080058318,0,0,0.375
1,2006-08-08,090852530,0.625,0.75,1
1,2006-08-08,090867313,0,0,0.25
1,2006-08-08,090876364,0,0,0.375
1,2006-08-08,090894361,0,0,0.375
1,2006-08-08,091007632,0,0,0.75
1,2006-08-08,091022607,0,0,0.625
1,2006-08-08,091024289,0.5,0.625,1
1,2006-08-08,091024307,0,0,0.375
1,2006-08-08,091034029,0,0,0.25
1,2006-08-08,091058003,0,0,0.75
1,2006-08-08,091059098,0,0,0.25
1,2006-08-08,091067532,0.5,0.625,1
1,2006-08-08,091104058,0,0,0.625
1,2006-08-08,091106639,0,0,0.25
1,2006-08-08,091124286,0,0,0.25
1,2006-08-08,091358025,0,0,0.25
1,2006-08-08,091382828,0,0,0.375
1,2006-08-08,091516832,0,0,0.25
1,2006-08-08,091523602,0,0,0.25
1,2006-08-08,091525022,0,0,0.375
1,2006-08-08,091528519,0,0,0.125
1,2006-08-08,091529283,0,0,0.375
1,2006-08-08,091530312,0,0,0.25
1,2006-08-08,091536862,0,0,0.25
1,2006-08-08,091557864,0,0,0.25
1,2006-08-08,091558058,0,0,0.625
1,2006-08-08,091567092,1,1,1
1,2006-08-08,091572817,0,0,0.25
1,2006-08-08,091581524,0,0,0.25
1,2006-08-08,091585885,0.25,0.5,1
1,2006-08-08,091592591,0,0,0.25
1,2006-08-08,091593803,0,0,0.375
1,2006-08-08,091602591,0,0,0.25
1,2006-08-08,091603798,0,0,0.25
2,2006-08-08,080048850,0,0,0
2,2006-08-08,080050269,0,0,0
2,2006-08-08,080051294,0,0,0
2,2006-08-08,080054113,0,0,1
2,2006-08-08,080055046,0,0,0
2,2006-08-08,080058318,0,0,0
2,2006-08-08,090852530,0,0,1
2,2006-08-08,090867313,0,0,0
2,2006-08-08,090876364,0,0,0
2,2006-08-08,090894361,0,0,0
2,2006-08-08,091007632,0,0,0
2,2006-08-08,091022607,0,0,0
2,2006-08-08,091024289,0,0,1
2,2006-08-08,091024307,0,0,0
2,2006-08-08,091034029,0,0,0
2,2006-08-08,091058003,0,0,0
2,2006-08-08,091059098,0,0,0
2,2006-08-08,091067532,0,0,1
2,2006-08-08,091104058,0,0,0
2,2006-08-08,091106639,0,0,0
2,2006-08-08,091124286,0,0,0
2,2006-08-08,091358025,0,0,0
2,2006-08-08,091382828,0,0,0
2,2006-08-08,091516832,0,0,0
2,2006-08-08,091523602,0,0,0
2,2006-08-08,091525022,0,0,0
2,2006-08-08,091528519,0,0,0
2,2006-08-08,091529283,0,0,0
2,2006-08-08,091530312,0,0,0
2,2006-08-08,091536862,0,0,0
2,2006-08-08,091557864,0,0,0
2,2006-08-08,091558058,0,0,0
2,2006-08-08,091567092,0,0.5,1
2,2006-08-08,091572817,0,0,0
2,2006-08-08,091581524,0,0,0
2,2006-08-08,091585885,0,0,0
2,2006-08-08,091592591,0,0,0
2,2006-08-08,091593803,0,0,0
2,2006-08-08,091602591,0,0,0
2,2006-08-08,091603798,0,0,0
