site_id,survey_date,survey_type,primary_period,secondary_period
70449,2014-06-28,translocation,1,0
70449,2014-07-10,cmr,2,1
70449,2014-07-11,cmr,2,2
70449,2014-07-12,cmr,2,3
70449,2014-08-06,cmr,3,1
70449,2014-08-07,cmr,3,2
70449,2014-08-08,cmr,3,3
70449,2014-09-03,cmr,4,1
70449,2014-09-04,cmr,4,2
70449,2014-09-05,cmr,4,3
70449,2015-06-18,cmr,5,1
70449,2015-06-19,cmr,5,2
70449,2015-06-20,cmr,5,3
70449,2015-07-17,cmr,6,1
70449,2015-07-18,cmr,6,2
70449,2015-07-19,cmr,6,3
70449,2015-08-14,cmr,7,1
70449,2015-08-15,cmr,7,2
70449,2015-08-16,cmr,7,3
70449,2016-06-09,cmr,8,1
70449,2016-06-10,cmr,8,2
70449,2016-06-11,cmr,8,3
70449,2016-07-06,cmr,9,1
70449,2016-07-07,cmr,9,2
70449,2016-07-08,cmr,9,3
70449,2016-07-09,cmr,9,4
70449,2016-07-10,cmr,9,5
70449,2016-07-11,cmr,9,6
70449,2016-07-12,cmr,9,7
70449,2016-08-02,cmr,10,1
70449,2016-08-03,cmr,10,2
70449,2016-08-04,cmr,10,3
70449,2016-08-06,cmr,10,4
70449,2016-08-29,cmr,11,1
70449,2016-08-30,cmr,11,2
70449,2016-08-31,cmr,11,3
70449,2017-07-22,cmr,12,1
70449,2017-07-23,cmr,12,2
70449,2017-07-24,cmr,12,3
70449,2017-08-09,translocation,13,0
70449,2017-08-25,cmr,14,1
70449,2017-08-26,cmr,14,2
70449,2017-08-27,cmr,14,3
70449,2018-06-14,cmr,15,1
70449,2018-06-15,cmr,15,2
70449,2018-06-16,cmr,15,3
70449,2018-08-02,cmr,16,1
70449,2018-08-03,cmr,16,2
70449,2018-08-04,cmr,16,3
70449,2019-07-17,cmr,17,1
70449,2019-07-18,cmr,17,2
70449,2019-07-19,cmr,17,3
70449,2020-06-24,cmr,18,1
70449,2020-06-25,cmr,18,2
70449,2020-06-26,cmr,18,3
70449,2021-06-18,cmr,19,1
70449,2021-06-19,cmr,19,2
