site_id,survey_date,survey_type,primary_period,secondary_period
70641,2015-08-12,translocation,1,0
70641,2015-09-01,cmr,2,1
70641,2016-06-10,cmr,3,1
70641,2016-07-29,cmr,4,1
70641,2016-09-07,cmr,5,1
70641,2017-07-19,cmr,6,1
70641,2017-07-31,cmr,7,1
70641,2017-08-09,translocation,8,0
70641,2017-08-25,cmr,9,1
70641,2017-09-04,cmr,10,1
70641,2018-05-29,cmr,11,1
70641,2018-07-26,cmr,12,1
70641,2019-08-20,cmr,13,1
70641,2020-06-25,cmr,14,1
70641,2020-08-05,translocation,15,0
70641,2020-08-24,cmr,16,1
70641,2021-06-29,cmr,17,1
70641,2021-08-03,cmr,18,1
70641,2021-08-19,cmr,19,1
70641,2021-08-30,cmr,20,1
70641,2021-09-13,cmr,21,1
