site_id,survey_date,survey_type,primary_period,secondary_period
70550,2006-08-07,translocation,1,0
70550,2006-08-13,cmr,2,1
70550,2006-08-21,cmr,3,1
70550,2006-08-31,cmr,4,1
70550,2006-09-14,cmr,5,1
70550,2006-09-27,cmr,6,1
70550,2007-06-18,cmr,7,1
70550,2007-07-01,cmr,8,1
70550,2007-07-06,cmr,9,1
70550,2007-07-31,cmr,10,1
70550,2007-09-02,cmr,11,1
70550,2008-06-28,cmr,12,1
70550,2008-07-16,cmr,13,1
70550,2008-07-28,cmr,14,1
70550,2008-08-21,cmr,15,1
70550,2008-09-07,cmr,16,1
70550,2009-07-06,cmr,17,1
70550,2009-07-24,cmr,18,1
70550,2009-09-01,cmr,19,1
70550,2009-09-15,cmr,20,1
70550,2010-07-20,cmr,21,1
70550,2010-08-13,cmr,22,1
70550,2010-09-07,cmr,23,1
70550,2011-08-20,cmr,24,1
70550,2012-06-16,cmr,25,1
70550,2012-07-15,cmr,26,1
70550,2012-08-29,cmr,27,1
70550,2013-06-28,cmr,28,1
70550,2013-07-16,translocation,29,0
70550,2013-07-23,cmr,30,1
70550,2013-07-26,cmr,31,1
70550,2013-07-29,cmr,32,1
70550,2013-07-31,cmr,32,2
70550,2013-08-03,cmr,33,1
70550,2013-08-04,cmr,33,2
70550,2013-08-08,cmr,34,1
70550,2013-08-14,cmr,35,1
70550,2013-08-18,cmr,36,1
70550,2013-08-20,cmr,36,2
70550,2013-08-26,cmr,37,1
70550,2013-08-27,cmr,37,2
70550,2013-08-28,cmr,37,3
70550,2013-09-09,cmr,38,1
70550,2013-09-10,cmr,38,2
70550,2013-09-11,cmr,38,3
70550,2014-06-24,cmr,39,1
70550,2014-07-14,cmr,40,1
70550,2014-07-15,cmr,40,2
70550,2014-07-16,cmr,40,3
70550,2014-08-10,cmr,41,1
70550,2014-08-11,cmr,41,2
70550,2014-08-12,cmr,41,3
70550,2014-09-07,cmr,42,1
70550,2014-09-08,cmr,42,2
70550,2014-09-09,cmr,42,3
70550,2015-07-10,cmr,43,1
70550,2015-07-11,cmr,43,2
70550,2015-07-12,cmr,43,3
70550,2015-08-04,cmr,44,1
70550,2015-08-05,cmr,44,2
70550,2015-08-06,cmr,44,3
70550,2015-09-02,cmr,45,1
70550,2015-09-03,cmr,45,2
70550,2015-09-04,cmr,45,3
70550,2016-07-12,cmr,46,1
70550,2016-07-13,cmr,46,2
70550,2016-07-14,cmr,46,3
70550,2016-08-10,cmr,47,1
70550,2016-08-11,cmr,47,2
70550,2016-08-12,cmr,47,3
70550,2017-08-10,cmr,48,1
70550,2017-08-11,cmr,48,2
70550,2017-08-12,cmr,48,3
70550,2018-06-28,cmr,49,1
70550,2018-06-29,cmr,49,2
70550,2018-06-30,cmr,49,3
70550,2018-08-16,cmr,50,1
70550,2018-08-17,cmr,50,2
70550,2018-08-18,cmr,50,3
70550,2019-07-31,cmr,51,1
70550,2019-08-01,cmr,51,2
70550,2019-08-02,cmr,51,3
70550,2020-07-01,cmr,52,1
70550,2020-07-02,cmr,52,2
70550,2020-07-03,cmr,52,3
70550,2020-08-27,cmr,53,1
70550,2020-08-28,cmr,53,2
70550,2020-08-29,cmr,53,3
70550,2021-06-23,cmr,54,1
70550,2021-06-24,cmr,54,2
70550,2021-06-25,cmr,54,3
70550,2021-08-16,cmr,55,1
70550,2021-08-17,cmr,55,2
70550,2021-08-18,cmr,55,3
